Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cyprus,"Water supply; sewerage, waste management and remediation activities",17998.45,18203.46,18159.98,18166.1,18630.15,19082.37,19450.34,19818.36,20181.47,20100.79
Latvia,"Water supply; sewerage, waste management and remediation activities",22628.18,22739.88,22903.23,21827.66,21779.87,21271.55,21273.51,19764.22,19840.1,19086.76
Lithuania,"Water supply; sewerage, waste management and remediation activities",53947.78,52258.18,50914.87,47265.87,46002.85,44417.43,41478.24,38644.57,37015.23,37556.42
Luxembourg,"Water supply; sewerage, waste management and remediation activities",3710.81,3678.61,3233.62,3154.31,3138.22,3162.31,3185.91,3031.61,2933.51,2996.02
Hungary,"Water supply; sewerage, waste management and remediation activities",162971.38,161900.2,157736.78,154469.7,153311,144557.98,140221.94,137548.19,134214.75,132844.94
Malta,"Water supply; sewerage, waste management and remediation activities",3793.24,4420.08,5082.34,4698.18,4624.61,4250.5,4870.91,5080.71,5565.87,5746.86
Netherlands,"Water supply; sewerage, waste management and remediation activities",194260.84,183197.82,169963.22,159270.65,149855.05,142062.85,132212.12,123924.85,116821.58,109307.55
Austria,"Water supply; sewerage, waste management and remediation activities",87220.01,81374.33,76280.99,71586.17,67492.37,63099.48,59369.14,55974.17,52747.86,49678.07
Poland,"Water supply; sewerage, waste management and remediation activities",454692.62,457066.73,452645.88,433428.26,418240.53,413411.37,396555.15,380737.94,352190.44,352675.59
Portugal,"Water supply; sewerage, waste management and remediation activities",219722.7,218997.3,214664.1,214841.9,208774.6,203301,197381.2,189442.5,187628.5,182183.86
Romania,"Water supply; sewerage, waste management and remediation activities",196466.73,196824.36,199739.69,178447.06,202220.96,212957.68,212338.16,211703.63,211310.59,203969.62
Slovenia,"Water supply; sewerage, waste management and remediation activities",25563.97,23252.49,22919.88,23059.61,22425.02,21269.79,19811.14,20086.59,19986.73,19887.16
Slovakia,"Water supply; sewerage, waste management and remediation activities",50172.51,51364.9,52299.33,52891.87,54156.52,53757.06,52481.33,52421.77,52116.34,52463.07
Finland,"Water supply; sewerage, waste management and remediation activities",101891.07,98292.62,98379.13,95111.77,93117.84,88431.37,83328.51,80642.78,75187.12,70280.85
Sweden,"Water supply; sewerage, waste management and remediation activities",72954.92,69195.32,64327.18,60162.15,55008.39,51847.67,47490.3,44023.92,40963.11,38273.85
United Kingdom,"Water supply; sewerage, waste management and remediation activities",1460216.22,1300531.55,1115141.53,1032360.35,970077.21,823536.79,723986.89,683567.34,719693.38,739237.93
Iceland,"Water supply; sewerage, waste management and remediation activities",11493.25,11084.14,11083.01,10126.82,8982.8,9537.97,9412.14,9174.95,8863.26,-1
Norway,"Water supply; sewerage, waste management and remediation activities",44217.88,45294.32,44263.63,44371.65,42780.42,41638.89,40699.67,38055.47,35902.22,-1
Switzerland,"Water supply; sewerage, waste management and remediation activities",26063.55,25211.65,24553.02,23830.95,23156.33,22605.57,22189.59,21657.78,21156.68,-1
Serbia,"Water supply; sewerage, waste management and remediation activities",-1,-1,96745.75,98190.64,103515.53,104876.76,104799.5,-1,-1,-1
Turkey,"Water supply; sewerage, waste management and remediation activities",630374.92,632991.99,642614.83,652724.44,635157.02,581020.88,574257.49,588422.09,555014.01,-1
EU28,Construction,4265.59,3892.79,3668.51,3642.12,3309.73,3027.49,2998.5,3127.05,3189.97,3246.51
